Index       TIME              V(1)              V(2)              L1:L             {L1:L}           {2*L1:L}        {(L1:L)**2.0}     {(L1:L)*R1:R}  
264      2.90779030e-04    9.67354278e-01    1.93470856e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
265      3.19109924e-04    9.07194066e-01    1.81438813e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
266      3.47440818e-04    8.18363477e-01    1.63672695e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
267      3.72938623e-04    7.16205674e-01    1.43241135e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
268      3.95886647e-04    6.08495639e-01    1.21699128e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
269      4.18834671e-04    4.88157002e-01    9.76314005e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
270      4.41782695e-04    3.57687249e-01    7.15374498e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
271      4.64730719e-04    2.19794123e-01    4.39588247e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
272      4.87678743e-04    7.73394325e-02    1.54678865e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
273      4.90547246e-04    5.93584913e-02    1.18716983e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
274      4.96284252e-04    2.33446115e-02    4.66892229e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
275      4.97001378e-04    1.88397837e-02    3.76795674e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
276      4.98435629e-04    9.82907209e-03    1.96581442e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
277      4.98794192e-04    7.57624089e-03    1.51524818e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
278      4.99511318e-04    3.07047455e-03    6.14094910e-03    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
279      4.99690599e-04    1.94401965e-03    3.88803930e-03    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
280      5.00049162e-04   -3.08896119e-04   -6.17792238e-04    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
281      5.00766288e-04   -4.81471152e-03   -9.62942303e-03    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
282      5.02200540e-04   -1.38259576e-02   -2.76519152e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
283      5.05069043e-04   -3.18443496e-02   -6.36886992e-02    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
284      5.10806049e-04   -6.78442519e-02   -1.35688504e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
