V(g) I(d) I(g) I(s) I(b)
-0.38 -0.0004435349 -4.38393e-10 0.0004434881 4.72395e-08
-0.39 -0.0004958214 -4.744821e-10 0.0004957742 4.76178e-08
-0.4 -0.00055123 -5.118932e-10 0.0005511825 4.79396e-08
-0.41 -0.0006097035 -5.506386e-10 0.0006096558 4.82029e-08
-0.42 -0.000671179 -5.907358e-10 0.0006711312 4.84066e-08
-0.43 -0.0007355892 -6.32207e-10 0.0007355413 4.8551e-08
-0.44 -0.0008028632 -6.750781e-10 0.0008028152 4.86372e-08
-0.45 -0.0008729276 -7.193782e-10 0.0008728796 4.86673e-08
-0.46 -0.0009457068 -7.65139e-10 0.000945659 4.86439e-08
-0.47 -0.0010211 -8.123945e-10 0.0010211 4.85704e-08
