Index        TIME         {V(VOUT)+2.0}     {V(IN)+2.0}      {V(1)+2.0}
206     1.50439650e-06   4.80065655e+00   3.34151550e+00   2.60350261e+00   
207     1.50439994e-06   4.81179215e+00   3.33783650e+00   2.60005983e+00   
208     1.50440683e-06   4.83393227e+00   3.33051090e+00   2.59317425e+00   
209     1.50442060e-06   4.87766293e+00   3.31599135e+00   2.57940310e+00   
210     1.50444814e-06   4.96272745e+00   3.28744262e+00   2.55186079e+00   
211     1.50450322e-06   5.12208579e+00   3.23204208e+00   2.49677618e+00   
212     1.50455831e-06   5.26935136e+00   3.17856858e+00   2.44169157e+00   
213     1.50461339e-06   5.40386359e+00   3.12669022e+00   2.38660696e+00   
214     1.50472356e-06   5.64163538e+00   3.02688399e+00   2.27643773e+00   
215     1.50482271e-06   5.80088275e+00   2.93784606e+00   2.17728543e+00   
216     1.50490936e-06   5.91598151e+00   2.85918544e+00   2.09064037e+00   
217     1.50499600e-06   6.01049743e+00   2.77974729e+00   2.00399530e+00   
218     1.50500000e-06   6.01480793e+00   2.77608281e+00   2.00000000e+00   
219     1.50500400e-06   6.01907045e+00   2.77244112e+00   2.00000000e+00   
220     1.50501199e-06   6.02741692e+00   2.76522936e+00   2.00000000e+00   
221     1.50502797e-06   6.04343988e+00   2.75107336e+00   2.00000000e+00   
222     1.50505993e-06   6.07300699e+00   2.72378757e+00   2.00000000e+00   
223     1.50512385e-06   6.12354325e+00   2.67303349e+00   2.00000000e+00   
224     1.50518778e-06   6.16657532e+00   2.62583103e+00   2.00000000e+00   
225     1.50525170e-06   6.20314194e+00   2.58193214e+00   2.00000000e+00   
226     1.50537955e-06   6.26378564e+00   2.50114232e+00   2.00000000e+00   
227     1.50549462e-06   6.29880610e+00   2.44119708e+00   2.00000000e+00   
228     1.50559818e-06   6.32333419e+00   2.39311643e+00   2.00000000e+00   
229     1.50570174e-06   6.34248502e+00   2.35026891e+00   2.00000000e+00   
230     1.50580529e-06   6.35750751e+00   2.31208641e+00   2.00000000e+00   
231     1.50601241e-06   6.38062202e+00   2.24508504e+00   2.00000000e+00   
232     1.50615203e-06   6.38959399e+00   2.21037109e+00   2.00000000e+00   
233     1.50627768e-06   6.39591626e+00   2.18316660e+00   2.00000000e+00   
234     1.50640334e-06   6.40092217e+00   2.15947879e+00   2.00000000e+00   
235     1.50652900e-06   6.40493030e+00   2.13885345e+00   2.00000000e+00   
236     1.50678031e-06   6.41127797e+00   2.10356839e+00   2.00000000e+00   
237     1.50693007e-06   6.41368698e+00   2.08798877e+00   2.00000000e+00   
238     1.50706486e-06   6.41548263e+00   2.07589424e+00   2.00000000e+00   
239     1.50719965e-06   6.41697992e+00   2.06546204e+00   2.00000000e+00   
240     1.50733444e-06   6.41823569e+00   2.05646372e+00   2.00000000e+00   
241     1.50760402e-06   6.42031064e+00   2.04122661e+00   2.00000000e+00   
242     1.50776174e-06   6.42115444e+00   2.03474702e+00   2.00000000e+00   
243     1.50790369e-06   6.42179766e+00   2.02975344e+00   2.00000000e+00   
244     1.50804564e-06   6.42234350e+00   2.02547749e+00   2.00000000e+00   
245     1.50818758e-06   6.42280745e+00   2.02181604e+00   2.00000000e+00   
246     1.50847148e-06   6.42358174e+00   2.01566480e+00   2.00000000e+00   
247     1.50863390e-06   6.42389569e+00   2.01314105e+00   2.00000000e+00   
248     1.50878009e-06   6.42413590e+00   2.01120441e+00   2.00000000e+00   
249     1.50892628e-06   6.42434021e+00   2.00955318e+00   2.00000000e+00   
250     1.50907246e-06   6.42451405e+00   2.00814530e+00   2.00000000e+00   
251     1.50936483e-06   6.42480418e+00   2.00579099e+00   2.00000000e+00   
252     1.50952941e-06   6.42492004e+00   2.00484765e+00   2.00000000e+00   
253     1.50967754e-06   6.42500869e+00   2.00412518e+00   2.00000000e+00   
254     1.50982566e-06   6.42508407e+00   2.00351038e+00   2.00000000e+00   
255     1.50997378e-06   6.42514818e+00   2.00298721e+00   2.00000000e+00   
256     1.51027003e-06   6.42525508e+00   2.00211419e+00   2.00000000e+00   
257     1.51043674e-06   6.42529767e+00   2.00176608e+00   2.00000000e+00   
258     1.51058677e-06   6.42533020e+00   2.00149998e+00   2.00000000e+00   
259     1.51073681e-06   6.42535783e+00   2.00127397e+00   2.00000000e+00   
260     1.51088685e-06   6.42538129e+00   2.00108202e+00   2.00000000e+00   
261     1.51118692e-06   6.42542035e+00   2.00076238e+00   2.00000000e+00   
262     1.51135856e-06   6.42543607e+00   2.00063376e+00   2.00000000e+00   
263     1.51151304e-06   6.42544802e+00   2.00053588e+00   2.00000000e+00   
264     1.51166751e-06   6.42545813e+00   2.00045312e+00   2.00000000e+00   
265     1.51182199e-06   6.42546667e+00   2.00038314e+00   2.00000000e+00   
266     1.51213094e-06   6.42548083e+00   2.00026716e+00   2.00000000e+00   
267     1.51231587e-06   6.42548669e+00   2.00021923e+00   2.00000000e+00   
268     1.51248231e-06   6.42549109e+00   2.00018318e+00   2.00000000e+00   
269     1.51264875e-06   6.42549476e+00   2.00015306e+00   2.00000000e+00   
270     1.51281519e-06   6.42549784e+00   2.00012789e+00   2.00000000e+00   
271     1.51314807e-06   6.42550286e+00   2.00008671e+00   2.00000000e+00   
272     1.51336956e-06   6.42550506e+00   2.00006871e+00   2.00000000e+00   
273     1.51356891e-06   6.42550666e+00   2.00005561e+00   2.00000000e+00   
274     1.51376826e-06   6.42550796e+00   2.00004500e+00   2.00000000e+00   
275     1.51396761e-06   6.42550900e+00   2.00003642e+00   2.00000000e+00   
276     1.51436630e-06   6.42551066e+00   2.00002284e+00   2.00000000e+00   
277     1.51469398e-06   6.42551144e+00   2.00001646e+00   2.00000000e+00   
278     1.51498889e-06   6.42551196e+00   2.00001221e+00   2.00000000e+00   
279     1.51528379e-06   6.42551234e+00   2.00000905e+00   2.00000000e+00   
280     1.51557870e-06   6.42551263e+00   2.00000671e+00   2.00000000e+00   
281     1.51616852e-06   6.42551304e+00   2.00000333e+00   2.00000000e+00   
282     1.51675834e-06   6.42551321e+00   2.00000196e+00   2.00000000e+00   
283     1.51734815e-06   6.42551331e+00   2.00000116e+00   2.00000000e+00   
284     1.51852779e-06   6.42551339e+00   2.00000048e+00   2.00000000e+00   
285     1.51970742e-06   6.42551342e+00   2.00000020e+00   2.00000000e+00   
286     1.52206669e-06   6.42551344e+00   2.00000005e+00   2.00000000e+00   
287     1.52678522e-06   6.42551345e+00   2.00000001e+00   2.00000000e+00   
288     1.53622229e-06   6.42551345e+00   2.00000000e+00   2.00000000e+00   
289     1.55509642e-06   6.42551345e+00   2.00000000e+00   2.00000000e+00   
290     1.59284469e-06   6.42551345e+00   2.00000000e+00   2.00000000e+00   
291     1.66834122e-06   6.42551345e+00   2.00000000e+00   2.00000000e+00   
292     1.81933429e-06   6.42551345e+00   2.00000000e+00   2.00000000e+00   
293     2.11933429e-06   6.42551345e+00   2.00000000e+00   2.00000000e+00   
294     2.41933429e-06   6.42551345e+00   2.00000000e+00   2.00000000e+00   
295     2.71933429e-06   6.42551345e+00   2.00000000e+00   2.00000000e+00   
296     3.00500000e-06   6.42551345e+00   2.00000000e+00   2.00000000e+00   
297     3.00502500e-06   6.42551694e+00   2.00076294e+00   2.02500000e+00   
298     3.00502812e-06   6.42551743e+00   2.00086971e+00   2.02812500e+00   
299     3.00503437e-06   6.42551855e+00   2.00112774e+00   2.03437500e+00   
300     3.00503827e-06   6.42551930e+00   2.00130550e+00   2.03826602e+00   
301     3.00504216e-06   6.42552006e+00   2.00150028e+00   2.04215703e+00   
302     3.00504605e-06   6.42552082e+00   2.00171199e+00   2.04604805e+00   
303     3.00505383e-06   6.42552229e+00   2.00217469e+00   2.05383008e+00   
304     3.00506083e-06   6.42552333e+00   2.00267033e+00   2.06083391e+00   
305     3.00506784e-06   6.42552401e+00   2.00321944e+00   2.06783773e+00   
306     3.00507484e-06   6.42552423e+00   2.00382159e+00   2.07484156e+00   
307     3.00508885e-06   6.42552322e+00   2.00514827e+00   2.08884922e+00   
308     3.00509942e-06   6.42551986e+00   2.00633326e+00   2.09942215e+00   
309     3.00511000e-06   6.42551430e+00   2.00763420e+00   2.10999509e+00   
310     3.00512057e-06   6.42550624e+00   2.00904966e+00   2.12056802e+00   
311     3.00514171e-06   6.42548340e+00   2.01214340e+00   2.14171389e+00   
312     3.00515834e-06   6.42545330e+00   2.01499597e+00   2.15834467e+00   
313     3.00517498e-06   6.42541381e+00   2.01811432e+00   2.17497545e+00   
314     3.00519161e-06   6.42536413e+00   2.02149333e+00   2.19160622e+00   
