Index       V(B)              TEMP             I(V_C)            I(V_B)      
26       4.60000000e-01    1.50000000e+02    2.13670484e-05    2.49010894e-07
27       4.70000000e-01    1.50000000e+02    2.79078572e-05    3.27016214e-07
28       4.80000000e-01    1.50000000e+02    3.64114808e-05    4.29467832e-07
29       4.90000000e-01    1.50000000e+02    4.74413994e-05    5.63996545e-07
30       5.00000000e-01    1.50000000e+02    6.17066804e-05    7.40589099e-07
31       5.10000000e-01    1.50000000e+02    8.00898202e-05    9.72298073e-07
32       5.20000000e-01    1.50000000e+02    1.03677292e-04    1.27615487e-06
33       5.30000000e-01    1.50000000e+02    1.33789040e-04    1.67433794e-06
34       5.40000000e-01    1.50000000e+02    1.71999940e-04    2.19565944e-06
35       5.50000000e-01    1.50000000e+02    2.20152755e-04    2.87744482e-06
36       5.60000000e-01    1.50000000e+02    2.80358077e-04    3.76789258e-06
37       5.70000000e-01    1.50000000e+02    3.54979278e-04    4.92901416e-06
38       5.80000000e-01    1.50000000e+02    4.46603490e-04    6.44026465e-06
39       5.90000000e-01    1.50000000e+02    5.58002806e-04    8.40298196e-06
40       6.00000000e-01    1.50000000e+02    6.92092068e-04    1.09457497e-05
41       6.10000000e-01    1.50000000e+02    8.51889499e-04    1.42307817e-05
42       6.20000000e-01    1.50000000e+02    1.04048393e-03    1.84613864e-05
43       6.30000000e-01    1.50000000e+02    1.26100831e-03    2.38904981e-05
44       6.40000000e-01    1.50000000e+02    1.51661546e-03    3.08301527e-05
45       6.50000000e-01    1.50000000e+02    1.81044954e-03    3.96616339e-05
46       6.60000000e-01    1.50000000e+02    2.14560647e-03    5.08458218e-05
47       6.70000000e-01    1.50000000e+02    2.52507755e-03    6.49330695e-05
48       6.80000000e-01    1.50000000e+02    2.95167239e-03    8.25717898e-05
49       6.90000000e-01    1.50000000e+02    3.42791725e-03    1.04515106e-04
50       7.00000000e-01    1.50000000e+02    3.95591811e-03    1.31626289e-04
51       7.10000000e-01    1.50000000e+02    4.53714470e-03    1.64889407e-04
52       7.20000000e-01    1.50000000e+02    5.17198292e-03    2.05450692e-04
53       7.30000000e-01    1.50000000e+02    5.85876808e-03    2.54745241e-04
54       7.40000000e-01    1.50000000e+02    6.59273953e-03    3.14658508e-04
55       7.50000000e-01    1.50000000e+02    7.36691861e-03    3.87399146e-04
56       7.60000000e-01    1.50000000e+02    8.17434865e-03    4.75125466e-04
57       7.70000000e-01    1.50000000e+02    9.00895565e-03    5.79744150e-04
58       7.80000000e-01    1.50000000e+02    9.86533529e-03    7.02876420e-04
59       7.90000000e-01    1.50000000e+02    1.07382824e-02    8.45861903e-04
60       8.00000000e-01    1.50000000e+02    1.16226029e-02    1.00976104e-03
61       8.10000000e-01    1.50000000e+02    1.25131274e-02    1.19535930e-03
62       8.20000000e-01    1.50000000e+02    1.34047926e-02    1.40317864e-03
63       8.30000000e-01    1.50000000e+02    1.42927419e-02    1.63349709e-03
64       8.40000000e-01    1.50000000e+02    1.51724190e-02    1.88637472e-03
65       8.50000000e-01    1.50000000e+02    1.60396416e-02    2.16168333e-03
66       8.60000000e-01    1.50000000e+02    1.68906526e-02    2.45913699e-03
67       8.70000000e-01    1.50000000e+02    1.77221492e-02    2.77832127e-03
68       8.80000000e-01    1.50000000e+02    1.85312955e-02    3.11871971e-03
69       8.90000000e-01    1.50000000e+02    1.93157200e-02    3.47973667e-03
70       9.00000000e-01    1.50000000e+02    2.00735047e-02    3.86071651e-03
71       9.10000000e-01    1.50000000e+02    2.08031661e-02    4.26095921e-03
72       9.20000000e-01    1.50000000e+02    2.15036311e-02    4.67973308e-03
73       9.30000000e-01    1.50000000e+02    2.21742096e-02    5.11628495e-03
74       9.40000000e-01    1.50000000e+02    2.28145628e-02    5.56984858e-03
75       9.50000000e-01    1.50000000e+02    2.34246705e-02    6.03965167e-03
76       9.60000000e-01    1.50000000e+02    2.40047953e-02    6.52492195e-03
77       9.70000000e-01    1.50000000e+02    2.45554459e-02    7.02489254e-03
78       9.80000000e-01    1.50000000e+02    2.50773491e-02    7.53880346e-03
79       9.90000000e-01    1.50000000e+02    2.55713766e-02    8.06592002e-03
80       1.00000000e+00    1.50000000e+02    2.60385653e-02    8.60551517e-03
81       1.01000000e+00    1.50000000e+02    2.64800451e-02    9.15688778e-03
82       1.02000000e+00    1.50000000e+02    2.68970181e-02    9.71936183e-03
83       1.03000000e+00    1.50000000e+02    2.72907310e-02    1.02922888e-02
84       1.04000000e+00    1.50000000e+02    2.76624503e-02    1.08750494e-02
85       1.05000000e+00    1.50000000e+02    2.80134419e-02    1.14670550e-02
86       1.06000000e+00    1.50000000e+02    2.83449543e-02    1.20677483e-02
87       1.07000000e+00    1.50000000e+02    2.86582046e-02    1.26766035e-02
88       1.08000000e+00    1.50000000e+02    2.89543683e-02    1.32931261e-02
89       1.09000000e+00    1.50000000e+02    2.92345715e-02    1.39168523e-02
90       1.10000000e+00    1.50000000e+02    2.94998860e-02    1.45473481e-02
91       1.11000000e+00    1.50000000e+02    2.97513256e-02    1.51842085e-02
92       1.12000000e+00    1.50000000e+02    2.99898451e-02    1.58270556e-02
93       1.13000000e+00    1.50000000e+02    3.02163397e-02    1.64755377e-02
94       1.14000000e+00    1.50000000e+02    3.04316463e-02    1.71293277e-02
95       1.15000000e+00    1.50000000e+02    3.06365447e-02    1.77881214e-02
96       1.16000000e+00    1.50000000e+02    3.08317602e-02    1.84516362e-02
97       1.17000000e+00    1.50000000e+02    3.10179659e-02    1.91196098e-02
98       1.18000000e+00    1.50000000e+02    3.11957858e-02    1.97917983e-02
99       1.19000000e+00    1.50000000e+02    3.13657973e-02    2.04679752e-02
100      1.20000000e+00    1.50000000e+02    3.15285348e-02    2.11479300e-02
End of Xyce(TM) Parameter Sweep
