Index       TIME           {V(1)+6.0}     {NINT(V(1)+6.0)} 
444      2.93364028e-03    3.97513000e+00    4.00000000e+00
445      2.94154685e-03    4.20464652e+00    4.00000000e+00
446      2.94945341e-03    4.43859297e+00    4.00000000e+00
447      2.95735997e-03    4.67639208e+00    5.00000000e+00
448      2.96526654e-03    4.91745711e+00    5.00000000e+00
449      2.97317310e-03    5.16119325e+00    5.00000000e+00
450      2.98107966e-03    5.40699909e+00    5.00000000e+00
451      2.98898622e-03    5.65426812e+00    6.00000000e+00
452      2.99689279e-03    5.90239022e+00    6.00000000e+00
453      3.00278785e-03    6.08757853e+00    6.00000000e+00
454      3.00777566e-03    6.24418248e+00    6.00000000e+00
455      3.01276347e-03    6.40054662e+00    6.00000000e+00
456      3.01775128e-03    6.55651740e+00    7.00000000e+00
457      3.02273909e-03    6.71194163e+00    7.00000000e+00
458      3.02772690e-03    6.86666669e+00    7.00000000e+00
459      3.03271471e-03    7.02054062e+00    7.00000000e+00
460      3.03770252e-03    7.17341230e+00    7.00000000e+00
461      3.04269032e-03    7.32513160e+00    7.00000000e+00
462      3.04767813e-03    7.47554953e+00    7.00000000e+00
463      3.05266594e-03    7.62451836e+00    8.00000000e+00
464      3.05765375e-03    7.77189180e+00    8.00000000e+00
465      3.06264156e-03    7.91752511e+00    8.00000000e+00
466      3.06762937e-03    8.06127527e+00    8.00000000e+00
467      3.07261718e-03    8.20300110e+00    8.00000000e+00
468      3.07760499e-03    8.34256343e+00    8.00000000e+00
469      3.08259279e-03    8.47982519e+00    8.00000000e+00
470      3.08758060e-03    8.61465158e+00    9.00000000e+00
471      3.09256841e-03    8.74691019e+00    9.00000000e+00
472      3.09755622e-03    8.87647114e+00    9.00000000e+00
473      3.10254403e-03    9.00320718e+00    9.00000000e+00
474      3.10753184e-03    9.12699385e+00    9.00000000e+00
