Index        TIME        {20.0 + V(30)}
627     7.61175062e-04   9.05089494e+00   
628     7.62220346e-04   8.16017770e+00   
629     7.63265629e-04   7.31228543e+00   
630     7.64310913e-04   6.51189651e+00   
631     7.65356196e-04   5.76324229e+00   
632     7.66401480e-04   5.07034568e+00   
633     7.67446763e-04   4.43699679e+00   
634     7.68492047e-04   3.86669808e+00   
635     7.69537331e-04   3.36270619e+00   
636     7.70582614e-04   2.92795698e+00   
637     7.71627898e-04   2.56505425e+00   
638     7.72673181e-04   2.27624520e+00   
639     7.74673181e-04   1.93856962e+00   
640     7.76673181e-04   1.89057983e+00   
641     7.78673181e-04   2.13720537e+00   
642     7.80673181e-04   2.67743067e+00   
643     7.82673181e-04   3.50377029e+00   
644     7.84191648e-04   4.32335428e+00   
645     7.85710116e-04   5.29813049e+00   
646     7.87228583e-04   6.41924141e+00   
647     7.88747050e-04   7.67568096e+00   
648     7.90265518e-04   9.05421600e+00   
649     7.91783985e-04   1.05540665e+01   
650     7.93302453e-04   1.21545547e+01   
651     7.94820920e-04   1.38398674e+01   
652     7.96339387e-04   1.55925535e+01   
653     7.97857855e-04   1.73935211e+01   
654     7.99155051e-04   1.89678831e+01   
655     8.00452248e-04   2.05577064e+01   
656     8.01749444e-04   2.21512580e+01   
657     8.03046641e-04   2.37364362e+01   
658     8.04343837e-04   2.53008064e+01   
659     8.05641034e-04   2.68396733e+01   
660     8.06938230e-04   2.83382578e+01   
