Index    V(COLL)    V(BASE)    I(V_COLL)    I(V_BASE)
29    1.4500000000E+00    9.0000000000E-01    4.0769642800E-02    2.0869832000E-03
30    1.5000000000E+00    9.0000000000E-01    4.1358455500E-02    2.2710049000E-03
31    1.5500000000E+00    9.0000000000E-01    4.1926990100E-02    2.4685634000E-03
32    1.6000000000E+00    9.0000000000E-01    4.2471851900E-02    2.6797402000E-03
33    1.6500000000E+00    9.0000000000E-01    4.2989975800E-02    2.9044634000E-03
34    1.7000000000E+00    9.0000000000E-01    4.3478716500E-02    3.1425093000E-03
35    1.7500000000E+00    9.0000000000E-01    4.3935914600E-02    3.3935100000E-03
36    1.8000000000E+00    9.0000000000E-01    4.4359936200E-02    3.6569679000E-03
37    1.8500000000E+00    9.0000000000E-01    4.4749684000E-02    3.9322745000E-03
38    1.9000000000E+00    9.0000000000E-01    4.5104584000E-02    4.2187315000E-03
39    1.9500000000E+00    9.0000000000E-01    4.5424549500E-02    4.5155744000E-03
40    2.0000000000E+00    9.0000000000E-01    4.5709930500E-02    4.8219945000E-03
End of Xyce(TM) Parameter Sweep
