Index      V(COLL)           V(BASE)          I(V_COLL)         I(V_BASE)    
28       1.40000000e+00    9.00000000e-01    1.90026515e-02    2.01458308e-04
29       1.45000000e+00    9.00000000e-01    1.92099251e-02    2.14736332e-04
30       1.50000000e+00    9.00000000e-01    1.94212743e-02    2.29037610e-04
31       1.55000000e+00    9.00000000e-01    1.96368656e-02    2.44428159e-04
32       1.60000000e+00    9.00000000e-01    1.98569000e-02    2.60974266e-04
33       1.65000000e+00    9.00000000e-01    2.00816264e-02    2.78741389e-04
34       1.70000000e+00    9.00000000e-01    2.03113577e-02    2.97792944e-04
35       1.75000000e+00    9.00000000e-01    2.05464902e-02    3.18189339e-04
36       1.80000000e+00    9.00000000e-01    2.07875230e-02    3.39987817e-04
37       1.85000000e+00    9.00000000e-01    2.10350753e-02    3.63243928e-04
38       1.90000000e+00    9.00000000e-01    2.12898987e-02    3.88015530e-04
39       1.95000000e+00    9.00000000e-01    2.15528779e-02    4.14370138e-04
40       2.00000000e+00    9.00000000e-01    2.18250198e-02    4.42396154e-04
End of Xyce(TM) Parameter Sweep
