Index        TIME           V(VINP)
5.160000e+02  2.023278e-04  1.761741e-02
5.170000e+02  2.026675e-04  2.312168e-02
5.180000e+02  2.030072e-04  2.936710e-02
5.190000e+02  2.033470e-04  3.635081e-02
5.200000e+02  2.036867e-04  4.406960e-02
5.210000e+02  2.040264e-04  5.252010e-02
5.220000e+02  2.043661e-04  6.169838e-02
5.230000e+02  2.047058e-04  7.160023e-02
5.240000e+02  2.050455e-04  8.222115e-02
5.250000e+02  2.053852e-04  9.355625e-02
5.260000e+02  2.057249e-04  1.056005e-01
5.270000e+02  2.060646e-04  1.183484e-01
5.280000e+02  2.064043e-04  1.317940e-01
5.290000e+02  2.067441e-04  1.459312e-01
5.300000e+02  2.070838e-04  1.607537e-01
5.310000e+02  2.074235e-04  1.762546e-01
5.320000e+02  2.077632e-04  1.924270e-01
5.330000e+02  2.081029e-04  2.092634e-01
5.340000e+02  2.084426e-04  2.267561e-01
5.350000e+02  2.087823e-04  2.448972e-01
5.360000e+02  2.091220e-04  2.636785e-01
5.370000e+02  2.094617e-04  2.830913e-01
5.380000e+02  2.098014e-04  3.031269e-01
5.390000e+02  2.101412e-04  3.237761e-01
5.400000e+02  2.104809e-04  3.450294e-01
5.410000e+02  2.108206e-04  3.668773e-01
5.420000e+02  2.111603e-04  3.893098e-01
5.430000e+02  2.115000e-04  4.123165e-01
5.440000e+02  2.118397e-04  4.358872e-01
5.450000e+02  2.121794e-04  4.600109e-01
5.460000e+02  2.125191e-04  4.846768e-01
5.470000e+02  2.128588e-04  5.098735e-01
5.480000e+02  2.131985e-04  5.355897e-01
5.490000e+02  2.135383e-04  5.618136e-01
5.500000e+02  2.138780e-04  5.885332e-01
5.510000e+02  2.142177e-04  6.157364e-01
5.520000e+02  2.145574e-04  6.434108e-01
5.530000e+02  2.148971e-04  6.715438e-01
5.540000e+02  2.152368e-04  7.001225e-01
5.550000e+02  2.155765e-04  7.291340e-01
5.560000e+02  2.159162e-04  7.585650e-01
5.570000e+02  2.162559e-04  7.884021e-01
5.580000e+02  2.165956e-04  8.186317e-01
5.590000e+02  2.169354e-04  8.492401e-01
5.600000e+02  2.172751e-04  8.802133e-01
5.610000e+02  2.176148e-04  9.115372e-01
5.620000e+02  2.179545e-04  9.431975e-01
5.630000e+02  2.182942e-04  9.751798e-01
5.640000e+02  2.186339e-04  1.007470e+00
5.650000e+02  2.189736e-04  1.040052e+00
5.660000e+02  2.193133e-04  1.072912e+00
5.670000e+02  2.196530e-04  1.106036e+00
