Index        TIME            V(OBJ)
593     2.88474600e-04   4.12420193e-01   
594     2.88638440e-04   4.11744296e-01   
595     2.88802280e-04   4.11069507e-01   
596     2.88966120e-04   4.10395824e-01   
597     2.89129960e-04   4.09723245e-01   
598     2.89293800e-04   4.09051768e-01   
599     2.89457640e-04   4.08381392e-01   
600     2.89621480e-04   4.07712114e-01   
601     2.89785320e-04   4.07043933e-01   
602     2.89949160e-04   4.06376847e-01   
603     2.90113000e-04   4.05710854e-01   
604     2.90276840e-04   4.05045953e-01   
605     2.90440680e-04   4.04382142e-01   
606     2.90604520e-04   4.03719418e-01   
607     2.90768360e-04   4.03057780e-01   
608     2.90932200e-04   4.02397227e-01   
609     2.91096040e-04   4.01737757e-01   
610     2.91259880e-04   4.01079367e-01   
611     2.91423720e-04   4.00422056e-01   
612     2.91587560e-04   3.99765822e-01   
613     2.91751400e-04   3.99110664e-01   
614     2.91915240e-04   3.98456580e-01   
615     2.92079080e-04   3.97803567e-01   
616     2.92242920e-04   3.97151625e-01   
617     2.92406760e-04   3.96500751e-01   
618     2.92570600e-04   3.95850944e-01   
619     2.92734440e-04   3.95202202e-01   
620     2.92898280e-04   3.94554523e-01   
621     2.93062120e-04   3.93907905e-01   
622     2.93225960e-04   3.93262347e-01   
623     2.93389800e-04   3.92617848e-01   
624     2.93553640e-04   3.91974404e-01   
625     2.93717480e-04   3.91332015e-01   
626     2.93881320e-04   3.90690678e-01   
627     2.94045160e-04   3.90050393e-01   
628     2.94209000e-04   3.89411157e-01   
629     2.94372840e-04   3.88772969e-01   
630     2.94536680e-04   3.88135826e-01   
631     2.94700520e-04   3.87499728e-01   
632     2.94864360e-04   3.86864672e-01   
633     2.95028200e-04   3.86230657e-01   
634     2.95192040e-04   3.85597681e-01   
635     2.95355880e-04   3.84965743e-01   
636     2.95519720e-04   3.84334840e-01   
637     2.95683560e-04   3.83704971e-01   
638     2.95847400e-04   3.83076134e-01   
639     2.96011240e-04   3.82448328e-01   
640     2.96175080e-04   3.81821551e-01   
641     2.96338920e-04   3.81195801e-01   
642     2.96502760e-04   3.80571076e-01   
643     2.96666600e-04   3.79947375e-01   
644     2.96830440e-04   3.79324697e-01   
645     2.96994280e-04   3.78703039e-01   
646     2.97158120e-04   3.78082399e-01   
647     2.97321960e-04   3.77462777e-01   
648     2.97485800e-04   3.76844170e-01   
649     2.97649640e-04   3.76226578e-01   
650     2.97813480e-04   3.75609997e-01   
651     2.97977320e-04   3.74994427e-01   
652     2.98141160e-04   3.74379865e-01   
653     2.98305000e-04   3.73766311e-01   
654     2.98468840e-04   3.73153762e-01   
655     2.98632680e-04   3.72542217e-01   
656     2.98796520e-04   3.71931675e-01   
657     2.98960360e-04   3.71322133e-01   
658     2.99124200e-04   3.70713590e-01   
659     2.99288040e-04   3.70106044e-01   
660     2.99451880e-04   3.69499494e-01   
661     2.99615720e-04   3.68893938e-01   
662     2.99779560e-04   3.68289374e-01   
663     2.99943400e-04   3.67685802e-01   
664     3.00107240e-04   3.67083218e-01   
665     3.00271080e-04   3.66481622e-01   
666     3.00434920e-04   3.65881012e-01   
667     3.00598760e-04   3.65281386e-01   
668     3.00762600e-04   3.64682743e-01   
669     3.00926440e-04   3.64085081e-01   
670     3.01090280e-04   3.63488398e-01   
671     3.01254120e-04   3.62892693e-01   
672     3.01417960e-04   3.62297965e-01   
673     3.01581800e-04   3.61704211e-01   
674     3.01745640e-04   3.61111430e-01   
675     3.01909480e-04   3.60519621e-01   
