Index         TIME              V(VOUT)          {V(IN)+1.0}           V(1)
326     2.9491398030e-06   1.8621793535e+00   9.9999995120e-01   0.0000000000e+00   
327     3.0050000000e-06   1.8620057298e+00   9.9999995433e-01   0.0000000000e+00   
328     3.0050250000e-06   1.8596538853e+00   1.0040311444e+00   1.0000000000e-02   
329     3.0050304261e-06   1.8590231379e+00   1.0050536713e+00   1.2170449874e-02   
330     3.0050358522e-06   1.8582761503e+00   1.0062035459e+00   1.4340899747e-02   
331     3.0050412784e-06   1.8574210910e+00   1.0074649615e+00   1.6511349621e-02   
332     3.0050467045e-06   1.8564671711e+00   1.0088248267e+00   1.8681799495e-02   
333     3.0050521306e-06   1.8554233850e+00   1.0102719015e+00   2.0852249368e-02   
334     3.0050575567e-06   1.8542980524e+00   1.0117963594e+00   2.3022699242e-02   
335     3.0050629829e-06   1.8530986947e+00   1.0133895348e+00   2.5193149115e-02   
336     3.0050684090e-06   1.8518320432e+00   1.0150437552e+00   2.7363598989e-02   
337     3.0050792612e-06   1.8490775618e+00   1.0185487422e+00   3.1704498736e-02   
338     3.0050901135e-06   1.8461340282e+00   1.0222101409e+00   3.6045398484e-02   
339     3.0051009657e-06   1.8430283276e+00   1.0259963911e+00   4.0386298231e-02   
340     3.0051118180e-06   1.8397823010e+00   1.0298824456e+00   4.4727197978e-02   
341     3.0051335225e-06   1.8328767859e+00   1.0379271326e+00   5.3408997473e-02   
342     3.0051552270e-06   1.8256159063e+00   1.0461491617e+00   6.2090796967e-02   
343     3.0051986360e-06   1.8101189024e+00   1.0629686341e+00   7.9454395956e-02   
344     3.0052420450e-06   1.7936771907e+00   1.0799587719e+00   9.6817994945e-02   
345     3.0053288630e-06   1.7579802161e+00   1.1142268820e+00   1.3154519292e-01   
346     3.0054156810e-06   1.7188048360e+00   1.1485373394e+00   1.6627239090e-01   
347     3.0054880467e-06   1.6833218646e+00   1.1771291326e+00   1.9521867554e-01   
348     3.0055242295e-06   1.6646120815e+00   1.1914030879e+00   2.0969181786e-01   
349     3.0055423210e-06   1.6640776529e+00   1.2007559997e+00   2.1692838902e-01   
350     3.0055604124e-06   1.6659748197e+00   1.2099251636e+00   2.2416496018e-01   
351     3.0055965953e-06   1.6697734357e+00   1.2261837272e+00   2.3863810250e-01   
352     3.0056327781e-06   1.6734402026e+00   1.2414580081e+00   2.5311124482e-01   
353     3.0056689610e-06   1.6770750656e+00   1.2562956392e+00   2.6758438714e-01   
354     3.0057413267e-06   1.6844058865e+00   1.2854683714e+00   2.9653067178e-01   
355     3.0058860581e-06   1.6995123577e+00   1.3434725430e+00   3.5442324106e-01   
356     3.0061755209e-06   1.7302935276e+00   1.4593023813e+00   4.7020837962e-01   
357     3.0065543432e-06   1.7670849845e+00   1.6107341875e+00   6.2173727012e-01   
358     3.0067729797e-06   1.7832410875e+00   1.6979360964e+00   7.0919186982e-01   
359     3.0069232397e-06   1.7903446787e+00   1.7577463593e+00   7.6929589330e-01   
360     3.0070734998e-06   1.7924387737e+00   1.8174763573e+00   8.2939991678e-01   
361     3.0071860778e-06   1.7895044254e+00   1.8620914540e+00   8.7443111133e-01   
362     3.0072676719e-06   1.7842663198e+00   1.8943462926e+00   9.0706876281e-01   
363     3.0073309533e-06   1.7780410354e+00   1.9193247471e+00   9.3238131773e-01   
364     3.0073835336e-06   1.7712292816e+00   1.9400628994e+00   9.5341342215e-01   
365     3.0074291506e-06   1.7639884517e+00   1.9580478298e+00   9.7166022196e-01   
366     3.0074697895e-06   1.7564072063e+00   1.9740684306e+00   9.8791581612e-01   
367     3.0075104285e-06   1.7476585296e+00   1.9900945621e+00   1.0041714103e+00   
368     3.0075445463e-06   1.7393861660e+00   2.0035503871e+00   1.0178185176e+00   
369     3.0075786641e-06   1.7301620066e+00   2.0170129431e+00   1.0314656248e+00   
370     3.0076083705e-06   1.7213308335e+00   2.0287409108e+00   1.0433482134e+00   
371     3.0076380770e-06   1.7116642695e+00   2.0404761138e+00   1.0552308020e+00   
372     3.0076677835e-06   1.7010919006e+00   2.0522193233e+00   1.0671133906e+00   
373     3.0076935468e-06   1.6911317928e+00   2.0624078857e+00   1.0774187101e+00   
374     3.0077193101e-06   1.6802788671e+00   2.0725917216e+00   1.0877240296e+00   
375     3.0077450734e-06   1.6683524057e+00   2.0827612677e+00   1.0980293491e+00   
376     3.0077708367e-06   1.6551328611e+00   2.0929086625e+00   1.1083346686e+00   
377     3.0077966000e-06   1.6404491438e+00   2.1030387294e+00   1.1186399881e+00   
378     3.0078223633e-06   1.6242294135e+00   2.1131665054e+00   1.1289453076e+00   
379     3.0078481266e-06   1.6064958316e+00   2.1233069491e+00   1.1392506271e+00   
380     3.0078738899e-06   1.5873399667e+00   2.1334683633e+00   1.1495559466e+00   
381     3.0078996532e-06   1.5668974784e+00   2.1436517629e+00   1.1598612661e+00   
382     3.0079254165e-06   1.5453257282e+00   2.1538536425e+00   1.1701665856e+00   
383     3.0079511798e-06   1.5227855510e+00   2.1640692361e+00   1.1804719051e+00   
384     3.0079769431e-06   1.4994283861e+00   2.1742945951e+00   1.1907772246e+00   
385     3.0080027064e-06   1.4753890074e+00   2.1845272412e+00   1.2010825441e+00   
386     3.0080542330e-06   1.4254866293e+00   2.2050137038e+00   1.2216931831e+00   
387     3.0081057596e-06   1.3741703219e+00   2.2255281903e+00   1.2423038221e+00   
388     3.0082088128e-06   1.2684555318e+00   2.2666156195e+00   1.2835251001e+00   
389     3.0083118659e-06   1.1607397005e+00   2.3077406443e+00   1.3247463781e+00   
390     3.0085179723e-06   9.4223773577e-01   2.3900641267e+00   1.4071889341e+00   
391     3.0089301851e-06   5.3614519403e-01   2.5546538066e+00   1.5720740461e+00   
392     3.0090104631e-06   4.8809834439e-01   2.5878883074e+00   1.6041852218e+00   
393     3.0090611937e-06   4.7000667480e-01   2.6095079691e+00   1.6244774787e+00   
394     3.0091013097e-06   4.6089809791e-01   2.6265439502e+00   1.6405238989e+00   
395     3.0091414258e-06   4.5483882246e-01   2.6433335996e+00   1.6565703192e+00   
396     3.0091815418e-06   4.5069911218e-01   2.6598986662e+00   1.6726167395e+00   
397     3.0092216579e-06   4.4786873416e-01   2.6763033835e+00   1.6886631598e+00   
398     3.0092617740e-06   4.4599062769e-01   2.6926019466e+00   1.7047095800e+00   
399     3.0093420061e-06   4.4427961999e-01   2.7249665133e+00   1.7368024206e+00   
400     3.0094222382e-06   4.4429825003e-01   2.7572447016e+00   1.7688952611e+00   
401     3.0095827024e-06   4.4714709180e-01   2.8215898170e+00   1.8330809422e+00   
