Index       TIME              VR(1)            {VR(1)}            VI(1)            {VI(1)}            VM(1)            {VM(1)}            VP(1)            {VP(1)}           VDB(1)           {VDB(1)}           IR(V1)           {IR(V1)}           II(V1)           {II(V1)}           IM(V1)           {IM(V1)}           IP(V1)           {IP(V1)}           IDB(V1)          {IDB(V1)}    
292      5.71706403e-05    7.27273404e-01    7.27273404e-01    0.00000000e+00    0.00000000e+00    7.27273404e-01    7.27273404e-01    0.00000000e+00    0.00000000e+00   -2.76604588e+00   -2.76604588e+00   -7.27177909e-04   -7.27177909e-04    0.00000000e+00    0.00000000e+00    7.27177909e-04    7.27177909e-04    1.80000000e+02    1.80000000e+02   -6.27671865e+01   -6.27671865e+01
293      5.74036370e-05    7.05051668e-01    7.05051668e-01    0.00000000e+00    0.00000000e+00    7.05051668e-01    7.05051668e-01    0.00000000e+00    0.00000000e+00   -3.03558111e+00   -3.03558111e+00   -7.04956294e-04   -7.04956294e-04    0.00000000e+00    0.00000000e+00    7.04956294e-04    7.04956294e-04    1.80000000e+02    1.80000000e+02   -6.30367561e+01   -6.30367561e+01
294      5.76133340e-05    6.85077608e-01    6.85077608e-01    0.00000000e+00    0.00000000e+00    6.85077608e-01    6.85077608e-01    0.00000000e+00    0.00000000e+00   -3.28520454e+00   -3.28520454e+00   -6.84982356e-04   -6.84982356e-04    0.00000000e+00    0.00000000e+00    6.84982356e-04    6.84982356e-04    1.80000000e+02    1.80000000e+02   -6.32864123e+01   -6.32864123e+01
295      5.78230311e-05    6.65128911e-01    6.65128911e-01    0.00000000e+00    0.00000000e+00    6.65128911e-01    6.65128911e-01    0.00000000e+00    0.00000000e+00   -3.54188349e+00   -3.54188349e+00   -6.65033780e-04   -6.65033780e-04    0.00000000e+00    0.00000000e+00    6.65033780e-04    6.65033780e-04    1.80000000e+02    1.80000000e+02   -6.35431259e+01   -6.35431259e+01
296      5.80327281e-05    6.45206867e-01    6.45206867e-01    0.00000000e+00    0.00000000e+00    6.45206867e-01    6.45206867e-01    0.00000000e+00    0.00000000e+00   -3.80602037e+00   -3.80602037e+00   -6.45111864e-04   -6.45111864e-04    0.00000000e+00    0.00000000e+00    6.45111864e-04    6.45111864e-04    1.80000000e+02    1.80000000e+02   -6.38072994e+01   -6.38072994e+01
297      5.82214554e-05    6.27301011e-01    6.27301011e-01    0.00000000e+00    0.00000000e+00    6.27301011e-01    6.27301011e-01    0.00000000e+00    0.00000000e+00   -4.05048025e+00   -4.05048025e+00   -6.27206134e-04   -6.27206134e-04    0.00000000e+00    0.00000000e+00    6.27206134e-04    6.27206134e-04    1.80000000e+02    1.80000000e+02   -6.40517941e+01   -6.40517941e+01
298      5.84101827e-05    6.09418966e-01    6.09418966e-01    0.00000000e+00    0.00000000e+00    6.09418966e-01    6.09418966e-01    0.00000000e+00    0.00000000e+00   -4.30168068e+00   -4.30168068e+00   -6.09324215e-04   -6.09324215e-04    0.00000000e+00    0.00000000e+00    6.09324215e-04    6.09324215e-04    1.80000000e+02    1.80000000e+02   -6.43030312e+01   -6.43030312e+01
299      5.85989100e-05    5.91561908e-01    5.91561908e-01    0.00000000e+00    0.00000000e+00    5.91561908e-01    5.91561908e-01    0.00000000e+00    0.00000000e+00   -4.55999597e+00   -4.55999597e+00   -5.91467290e-04   -5.91467290e-04    0.00000000e+00    0.00000000e+00    5.91467290e-04    5.91467290e-04    1.80000000e+02    1.80000000e+02   -6.45613854e+01   -6.45613854e+01
300      5.87876373e-05    5.73731103e-01    5.73731103e-01    0.00000000e+00    0.00000000e+00    5.73731103e-01    5.73731103e-01    0.00000000e+00    0.00000000e+00   -4.82583211e+00   -4.82583211e+00   -5.73636624e-04   -5.73636624e-04    0.00000000e+00    0.00000000e+00    5.73636624e-04    5.73636624e-04    1.80000000e+02    1.80000000e+02   -6.48272626e+01   -6.48272626e+01
301      5.89574919e-05    5.57706994e-01    5.57706994e-01    0.00000000e+00    0.00000000e+00    5.57706994e-01    5.57706994e-01    0.00000000e+00    0.00000000e+00   -5.07187818e+00   -5.07187818e+00   -5.57612654e-04   -5.57612654e-04    0.00000000e+00    0.00000000e+00    5.57612654e-04    5.57612654e-04    1.80000000e+02    1.80000000e+02   -6.50733476e+01   -6.50733476e+01
302      5.91273465e-05    5.41706316e-01    5.41706316e-01    0.00000000e+00    0.00000000e+00    5.41706316e-01    5.41706316e-01    0.00000000e+00    0.00000000e+00   -5.32472201e+00   -5.32472201e+00   -5.41612114e-04   -5.41612114e-04    0.00000000e+00    0.00000000e+00    5.41612114e-04    5.41612114e-04    1.80000000e+02    1.80000000e+02   -6.53262326e+01   -6.53262326e+01
