Index       TIME              V(1)              V(2)              I(C1)             I(R1)             I(V1)      
166      8.08950000e-06   -9.32184879e-01    4.91654721e-04   -9.32676533e-04   -9.32676533e-04    9.32676533e-04
167      8.14070000e-06   -9.20059623e-01    4.68089211e-04   -9.20527712e-04   -9.20527712e-04    9.20527712e-04
168      8.19190000e-06   -9.06982277e-01    4.44859077e-04   -9.07427137e-04   -9.07427137e-04    9.07427137e-04
169      8.24310000e-06   -8.92966374e-01    4.21988334e-04   -8.93388362e-04   -8.93388362e-04    8.93388362e-04
170      8.29430000e-06   -8.78026417e-01    3.99500631e-04   -8.78425917e-04   -8.78425917e-04    8.78425917e-04
171      8.34550000e-06   -8.62177865e-01    3.77419216e-04   -8.62555284e-04   -8.62555284e-04    8.62555284e-04
172      8.39670000e-06   -8.45437120e-01    3.55766918e-04   -8.45792887e-04   -8.45792887e-04    8.45792887e-04
173      8.44790000e-06   -8.27821506e-01    3.34566122e-04   -8.28156072e-04   -8.28156072e-04    8.28156072e-04
174      8.49910000e-06   -8.09349250e-01    3.13838747e-04   -8.09663088e-04   -8.09663088e-04    8.09663088e-04
175      8.55030000e-06   -7.90039468e-01    2.93606221e-04   -7.90333074e-04   -7.90333074e-04    7.90333074e-04
176      8.60150000e-06   -7.69912143e-01    2.73889458e-04   -7.70186032e-04   -7.70186032e-04    7.70186032e-04
177      8.65270000e-06   -7.48988102e-01    2.54708842e-04   -7.49242810e-04   -7.49242810e-04    7.49242810e-04
178      8.70390000e-06   -7.27288997e-01    2.36084200e-04   -7.27525082e-04   -7.27525082e-04    7.27525082e-04
179      8.75510000e-06   -7.04837284e-01    2.18034784e-04   -7.05055319e-04   -7.05055319e-04    7.05055319e-04
180      8.80630000e-06   -6.81656196e-01    2.00579251e-04   -6.81856775e-04   -6.81856775e-04    6.81856775e-04
181      8.85750000e-06   -6.57769721e-01    1.83735642e-04   -6.57953456e-04   -6.57953456e-04    6.57953456e-04
182      8.90870000e-06   -6.33202576e-01    1.67521368e-04   -6.33370097e-04   -6.33370097e-04    6.33370097e-04
183      8.95990000e-06   -6.07980184e-01    1.51953185e-04   -6.08132138e-04   -6.08132138e-04    6.08132138e-04
184      9.01110000e-06   -5.82128647e-01    1.37047183e-04   -5.82265694e-04   -5.82265694e-04    5.82265694e-04
185      9.06230000e-06   -5.55674714e-01    1.22818766e-04   -5.55797533e-04   -5.55797533e-04    5.55797533e-04
186      9.11350000e-06   -5.28645762e-01    1.09282637e-04   -5.28755044e-04   -5.28755044e-04    5.28755044e-04
187      9.16470000e-06   -5.01069760e-01    9.64527820e-05   -5.01166212e-04   -5.01166212e-04    5.01166212e-04
