TIME,V(1),V(2),I(V1)
7.52630000e-06,-9.99863469e-01,7.65844933e-04,1.00062931e-03
7.57750000e-06,-9.98814648e-01,7.40256327e-04,9.99554904e-04
7.62870000e-06,-9.96732240e-01,7.14721685e-04,9.97446962e-04
7.67990000e-06,-9.93618400e-01,6.89267409e-04,9.94307667e-04
7.73110000e-06,-9.89476349e-01,6.63919818e-04,9.90140269e-04
7.78230000e-06,-9.84310375e-01,6.38705121e-04,9.84949080e-04
7.83350000e-06,-9.78125823e-01,6.13649391e-04,9.78739472e-04
7.88470000e-06,-9.70929093e-01,5.88778533e-04,9.71517871e-04
7.93590000e-06,-9.62727632e-01,5.64118265e-04,9.63291750e-04
7.98710000e-06,-9.53529927e-01,5.39694082e-04,9.54069621e-04
8.03830000e-06,-9.43345496e-01,5.15531240e-04,9.43861027e-04
8.08950000e-06,-9.32184879e-01,4.91654721e-04,9.32676533e-04
8.14070000e-06,-9.20059623e-01,4.68089211e-04,9.20527712e-04
8.19190000e-06,-9.06982277e-01,4.44859077e-04,9.07427137e-04
