Index       TIME        N(YRXN!R1_000_CONC_ZSPEC)
654      1.54371896e+01    9.87813065e-01
655      1.67793668e+01    9.86766616e-01
656      1.81215441e+01    9.85722382e-01
657      1.94637214e+01    9.84680356e-01
658      2.08058987e+01    9.83640531e-01
659      2.21480760e+01    9.82602900e-01
660      2.48324305e+01    9.80534188e-01
661      2.75167851e+01    9.78474165e-01
662      3.02011396e+01    9.76422778e-01
663      3.28854942e+01    9.74379977e-01
664      3.55698488e+01    9.72345706e-01
665      3.82542033e+01    9.70319913e-01
666      4.36229124e+01    9.66293508e-01
667      4.89916216e+01    9.62300346e-01
668      5.43603307e+01    9.58340044e-01
669      6.50977489e+01    9.50516128e-01
670      7.58351672e+01    9.42818645e-01
671      8.65725854e+01    9.35244763e-01
672      9.73100036e+01    9.27791598e-01
673      1.08047422e+02    9.20456310e-01
674      1.18784840e+02    9.13236134e-01
675      1.29522258e+02    9.06128381e-01
676      1.40259677e+02    8.99130449e-01
677      1.50997095e+02    8.92239810e-01
678      1.61734513e+02    8.85454017e-01
679      1.72471931e+02    8.78770695e-01
680      1.83209350e+02    8.72187539e-01
681      1.93946768e+02    8.65702314e-01
682      2.04684186e+02    8.59312852e-01
683      2.15421604e+02    8.53017046e-01
684      2.26159023e+02    8.46812852e-01
685      2.36896441e+02    8.40698286e-01
686      2.47633859e+02    8.34671418e-01
687      2.58371277e+02    8.28730376e-01
688      2.69108695e+02    8.22873338e-01
689      2.79846114e+02    8.17098536e-01
