Index       TIME              V(1A)             V(2A)             V(3A)        {I(C1A)+I(C1B)}        I(C2)             I(C3)        {P(C1A)+P(C1B)}        P(C2)             P(C3)      
105      1.34090640e-01    4.66050707e-01    3.91541197e-01    3.91541197e-01   -4.66050707e-04   -3.91541197e-04   -3.91541197e-04   -2.17203261e-04   -1.53304509e-04   -1.53304509e-04
106      1.36712080e-01    4.51025333e-01    3.66695304e-01    3.66695304e-01   -4.51025333e-04   -3.66695304e-04   -3.66695304e-04   -2.03423851e-04   -1.34465446e-04   -1.34465446e-04
107      1.39333520e-01    4.36484374e-01    3.43426047e-01    3.43426047e-01   -4.36484374e-04   -3.43426047e-04   -3.43426047e-04   -1.90518609e-04   -1.17941450e-04   -1.17941450e-04
108      1.41954960e-01    4.22412212e-01    3.21633380e-01    3.21633380e-01   -4.22412212e-04   -3.21633380e-04   -3.21633380e-04   -1.78432077e-04   -1.03448031e-04   -1.03448031e-04
109      1.44576400e-01    4.08793734e-01    3.01223602e-01    3.01223602e-01   -4.08793734e-04   -3.01223602e-04   -3.01223602e-04   -1.67112317e-04   -9.07356586e-05   -9.07356586e-05
110      1.47197840e-01    3.95614313e-01    2.82108961e-01    2.82108961e-01   -3.95614313e-04   -2.82108961e-04   -2.82108961e-04   -1.56510684e-04   -7.95854658e-05   -7.95854658e-05
111      1.49819280e-01    3.82859793e-01    2.64207271e-01    2.64207271e-01   -3.82859793e-04   -2.64207271e-04   -2.64207271e-04   -1.46581621e-04   -6.98054818e-05   -6.98054818e-05
112      1.52440720e-01    3.70516476e-01    2.47441562e-01    2.47441562e-01   -3.70516476e-04   -2.47441562e-04   -2.47441562e-04   -1.37282459e-04   -6.12273264e-05   -6.12273264e-05
113      1.55062160e-01    3.58571105e-01    2.31739748e-01    2.31739748e-01   -3.58571105e-04   -2.31739749e-04   -2.31739749e-04   -1.28573237e-04   -5.37033110e-05   -5.37033110e-05
114      1.57683600e-01    3.47010850e-01    2.17034320e-01    2.17034320e-01   -3.47010850e-04   -2.17034320e-04   -2.17034320e-04   -1.20416530e-04   -4.71038960e-05   -4.71038960e-05
115      1.60305040e-01    3.35823296e-01    2.03262048e-01    2.03262048e-01   -3.35823296e-04   -2.03262048e-04   -2.03262048e-04   -1.12777286e-04   -4.13154603e-05   -4.13154603e-05
116      1.62926480e-01    3.24996425e-01    1.90363719e-01    1.90363719e-01   -3.24996425e-04   -1.90363719e-04   -1.90363719e-04   -1.05622677e-04   -3.62383456e-05   -3.62383456e-05
117      1.65547920e-01    3.14518611e-01    1.78283875e-01    1.78283875e-01   -3.14518611e-04   -1.78283875e-04   -1.78283875e-04   -9.89219567e-05   -3.17851401e-05   -3.17851401e-05
118      1.68169360e-01    3.04378599e-01    1.66970577e-01    1.66970577e-01   -3.04378599e-04   -1.66970577e-04   -1.66970577e-04   -9.26463316e-05   -2.78791736e-05   -2.78791736e-05
119      1.70790800e-01    2.94565499e-01    1.56375183e-01    1.56375183e-01   -2.94565499e-04   -1.56375183e-04   -1.56375183e-04   -8.67688332e-05   -2.44531979e-05   -2.44531979e-05
120      1.73412240e-01    2.85068771e-01    1.46452138e-01    1.46452138e-01   -2.85068771e-04   -1.46452137e-04   -1.46452137e-04   -8.12642043e-05   -2.14482286e-05   -2.14482286e-05
121      1.76033680e-01    2.75878216e-01    1.37158775e-01    1.37158775e-01   -2.75878216e-04   -1.37158775e-04   -1.37158775e-04   -7.61087899e-05   -1.88125296e-05   -1.88125296e-05
122      1.78655120e-01    2.66983962e-01    1.28455138e-01    1.28455138e-01   -2.66983962e-04   -1.28455138e-04   -1.28455138e-04   -7.12804359e-05   -1.65007226e-05   -1.65007226e-05
123      1.81276560e-01    2.58376457e-01    1.20303805e-01    1.20303805e-01   -2.58376457e-04   -1.20303805e-04   -1.20303805e-04   -6.67583934e-05   -1.44730056e-05   -1.44730056e-05
124      1.83898000e-01    2.50046456e-01    1.12669729e-01    1.12669729e-01   -2.50046456e-04   -1.12669729e-04   -1.12669729e-04   -6.25232300e-05   -1.26944677e-05   -1.26944677e-05
125      1.86519440e-01    2.41985012e-01    1.05520085e-01    1.05520085e-01   -2.41985012e-04   -1.05520085e-04   -1.05520085e-04   -5.85567461e-05   -1.11344883e-05   -1.11344883e-05
126      1.89140880e-01    2.34183468e-01    9.88241334e-02    9.88241334e-02   -2.34183468e-04   -9.88241334e-05   -9.88241334e-05   -5.48418966e-05   -9.76620935e-06   -9.76620935e-06
127      1.91762320e-01    2.26633444e-01    9.25530847e-02    9.25530847e-02   -2.26633443e-04   -9.25530848e-05   -9.25530848e-05   -5.13627177e-05   -8.56607350e-06   -8.56607350e-06
128      1.94383760e-01    2.19326830e-01    8.66799758e-02    8.66799758e-02   -2.19326830e-04   -8.66799758e-05   -8.66799758e-05   -4.81042585e-05   -7.51341821e-06   -7.51341821e-06
129      1.97005200e-01    2.12255781e-01    8.11795547e-02    8.11795547e-02   -2.12255781e-04   -8.11795547e-05   -8.11795547e-05   -4.50525165e-05   -6.59012011e-06   -6.59012011e-06
130      1.99626640e-01    2.05412700e-01    7.60281719e-02    7.60281719e-02   -2.05412701e-04   -7.60281719e-05   -7.60281719e-05   -4.21943775e-05   -5.78028293e-06   -5.78028293e-06
131      2.02248080e-01    1.98790240e-01    7.12036787e-02    7.12036787e-02   -1.98790239e-04   -7.12036787e-05   -7.12036787e-05   -3.95175593e-05   -5.06996386e-06   -5.06996386e-06
132      2.04869520e-01    1.92381285e-01    6.66853316e-02    6.66853316e-02   -1.92381285e-04   -6.66853315e-05   -6.66853315e-05   -3.70105589e-05   -4.44693344e-06   -4.44693344e-06
133      2.07490960e-01    1.86178954e-01    6.24537037e-02    6.24537037e-02   -1.86178954e-04   -6.24537037e-05   -6.24537037e-05   -3.46626030e-05   -3.90046510e-06   -3.90046510e-06
134      2.12733840e-01    1.74364661e-01    5.47712492e-02    5.47712492e-02   -1.74364661e-04   -5.47712491e-05   -5.47712491e-05   -3.04030350e-05   -2.99988973e-06   -2.99988973e-06
135      2.17976720e-01    1.63300063e-01    4.80338164e-02    4.80338164e-02   -1.63300063e-04   -4.80338164e-05   -4.80338164e-05   -2.66669107e-05   -2.30724752e-06   -2.30724752e-06
136      2.23219600e-01    1.52937588e-01    4.21251578e-02    4.21251578e-02   -1.52937588e-04   -4.21251578e-05   -4.21251578e-05   -2.33899058e-05   -1.77452892e-06   -1.77452892e-06
137      2.28462480e-01    1.43232681e-01    3.69433257e-02    3.69433257e-02   -1.43232681e-04   -3.69433257e-05   -3.69433257e-05   -2.05156008e-05   -1.36480932e-06   -1.36480932e-06
138      2.33705360e-01    1.34143614e-01    3.23989128e-02    3.23989128e-02   -1.34143614e-04   -3.23989127e-05   -3.23989127e-05   -1.79945092e-05   -1.04968955e-06   -1.04968955e-06
139      2.38948240e-01    1.25631310e-01    2.84135098e-02    2.84135098e-02   -1.25631310e-04   -2.84135099e-05   -2.84135099e-05   -1.57832259e-05   -8.07327542e-07   -8.07327542e-07
140      2.44191120e-01    1.17659167e-01    2.49183529e-02    2.49183529e-02   -1.17659167e-04   -2.49183529e-05   -2.49183529e-05   -1.38436796e-05   -6.20924310e-07   -6.20924310e-07
141      2.49434000e-01    1.10192910e-01    2.18531366e-02    2.18531366e-02   -1.10192910e-04   -2.18531366e-05   -2.18531366e-05   -1.21424775e-05   -4.77559578e-07   -4.77559578e-07
