Index       V(2)              V(1)             I(VDS)           N(M1:GM)     
265     -2.60000000e+00    1.50000000e+00    7.16392351e+00   -1.10941826e-03
266     -2.65000000e+00    1.50000000e+00    7.35729426e+00   -1.10718710e-03
267     -2.70000000e+00    1.50000000e+00    7.55066451e+00   -1.10486943e-03
268     -2.75000000e+00    1.50000000e+00    7.74403428e+00   -1.10246763e-03
269     -2.80000000e+00    1.50000000e+00    7.93740358e+00   -1.09998519e-03
270     -2.85000000e+00    1.50000000e+00    8.13077242e+00   -1.09742625e-03
271     -2.90000000e+00    1.50000000e+00    8.32414080e+00   -1.09479533e-03
272     -2.95000000e+00    1.50000000e+00    8.51750873e+00   -1.09209702e-03
273     -3.00000000e+00    1.50000000e+00    8.71087623e+00   -1.08933590e-03
274     -3.05000000e+00    1.50000000e+00    8.90424331e+00   -1.08651641e-03
275     -3.10000000e+00    1.50000000e+00    9.09760995e+00   -1.08364278e-03
276     -3.15000000e+00    1.50000000e+00    9.29097619e+00   -1.08071907e-03
277     -3.20000000e+00    1.50000000e+00    9.48434202e+00   -1.07774909e-03
278     -3.25000000e+00    1.50000000e+00    9.67770744e+00   -1.07473643e-03
279     -3.30000000e+00    1.50000000e+00    9.87107247e+00   -1.07168449e-03
280     -3.35000000e+00    1.50000000e+00    1.00644371e+01   -1.06859642e-03
281     -3.40000000e+00    1.50000000e+00    1.02578014e+01   -1.06547520e-03
282     -3.45000000e+00    1.50000000e+00    1.04511652e+01   -1.06232362e-03
283     -3.50000000e+00    1.50000000e+00    1.06445287e+01   -1.05914429e-03
284      0.00000000e+00    2.00000000e+00    0.00000000e+00    0.00000000e+00
285     -5.00000000e-02    2.00000000e+00    2.14875269e-04   -4.17327902e-05
286     -1.00000000e-01    2.00000000e+00    4.21999975e-04   -8.28136856e-05
287     -1.50000000e-01    2.00000000e+00    6.21654610e-04   -1.23274227e-04
288     -2.00000000e-01    2.00000000e+00    8.14115822e-04   -1.63137145e-04
289     -2.50000000e-01    2.00000000e+00    9.99652416e-04   -2.02419856e-04
290     -3.00000000e-01    2.00000000e+00    1.17852329e-03   -2.41136709e-04
291     -3.50000000e-01    2.00000000e+00    1.35097934e-03   -2.79300394e-04
292     -4.00000000e-01    2.00000000e+00    1.51728652e-03   -3.16922803e-04
293     -4.50000000e-01    2.00000000e+00    1.67789029e-03   -3.54015503e-04
294     -5.00000000e-01    2.00000000e+00    1.83455406e-03   -3.90589950e-04
295     -5.50000000e-01    2.00000000e+00    1.99822748e-03   -4.26657516e-04
296     -6.00000000e-01    2.00000000e+00    2.24342577e-03   -4.62229364e-04
297     -6.50000000e-01    2.00000000e+00    3.08406515e-03   -4.97316179e-04
298     -7.00000000e-01    2.00000000e+00    8.07101561e-03   -5.31927730e-04
299     -7.50000000e-01    2.00000000e+00    4.17448745e-02   -5.66072174e-04
300     -8.00000000e-01    2.00000000e+00    2.02367890e-01   -5.99754837e-04
301     -8.50000000e-01    2.00000000e+00    3.95804428e-01   -6.32975696e-04
302     -9.00000000e-01    2.00000000e+00    5.89236463e-01   -6.65723595e-04
303     -9.50000000e-01    2.00000000e+00    7.82664113e-01   -6.97963043e-04
304     -1.00000000e+00    2.00000000e+00    9.76087501e-01   -7.29607258e-04
305     -1.05000000e+00    2.00000000e+00    1.16950675e+00   -7.60473534e-04
306     -1.10000000e+00    2.00000000e+00    1.36292202e+00   -7.90232936e-04
307     -1.15000000e+00    2.00000000e+00    1.55633349e+00   -8.18399199e-04
308     -1.20000000e+00    2.00000000e+00    1.74974139e+00   -8.44419915e-04
309     -1.25000000e+00    2.00000000e+00    1.94314601e+00   -8.67870519e-04
310     -1.30000000e+00    2.00000000e+00    2.13654764e+00   -8.88623867e-04
311     -1.35000000e+00    2.00000000e+00    2.32994657e+00   -9.06852956e-04
312     -1.40000000e+00    2.00000000e+00    2.52334307e+00   -9.22887960e-04
313     -1.45000000e+00    2.00000000e+00    2.71673735e+00   -9.37067203e-04
314     -1.50000000e+00    2.00000000e+00    2.91012961e+00   -9.49665402e-04
315     -1.55000000e+00    2.00000000e+00    3.10352001e+00   -9.60887060e-04
316     -1.60000000e+00    2.00000000e+00    3.29690867e+00   -9.70884966e-04
