Index        TIME               V(VOUT)              V(IN)               V(1)        
216      3.0242184649e-06    5.3365338488e-01    3.2999654830e+00    3.3000000000e+00
217      3.0383021613e-06    5.3365342235e-01    3.2999658657e+00    3.3000000000e+00
218      3.0664695543e-06    5.3365338502e-01    3.2999654847e+00    3.3000000000e+00
219      3.1228043403e-06    5.3365342227e-01    3.2999658649e+00    3.3000000000e+00
220      3.2354739122e-06    5.3365338506e-01    3.2999654852e+00    3.3000000000e+00
221      3.4608130560e-06    5.3365342226e-01    3.2999658647e+00    3.3000000000e+00
222      3.7618130560e-06    5.3365338507e-01    3.2999654853e+00    3.3000000000e+00
223      4.0628130560e-06    5.3365342225e-01    3.2999658646e+00    3.3000000000e+00
224      4.3638130560e-06    5.3365338508e-01    3.2999654854e+00    3.3000000000e+00
225      4.5100000000e-06    5.3365342223e-01    3.2999658644e+00    3.3000000000e+00
226      4.5100078125e-06    5.3355127589e-01    3.2985769266e+00    3.2948437500e+00
227      4.5100155428e-06    5.3337487922e-01    3.2962060314e+00    3.2897417362e+00
228      4.5100232731e-06    5.3314308624e-01    3.2931054900e+00    3.2846397224e+00
229      4.5100310035e-06    5.3288842686e-01    3.2896974216e+00    3.2795377086e+00
230      4.5100464641e-06    5.3228148005e-01    3.2815292401e+00    3.2693336810e+00
231      4.5100619248e-06    5.3160459052e-01    3.2722863757e+00    3.2591296534e+00
232      4.5100773854e-06    5.3090785296e-01    3.2625492564e+00    3.2489256258e+00
233      4.5101083067e-06    5.2954441719e-01    3.2425482045e+00    3.2285175707e+00
234      4.5101392280e-06    5.2828661309e-01    3.2223246945e+00    3.2081095155e+00
235      4.5102010706e-06    5.2638463349e-01    3.1819637228e+00    3.1672934051e+00
236      4.5102629132e-06    5.2588503568e-01    3.1418950789e+00    3.1264772947e+00
237      4.5103247558e-06    5.2755823973e-01    3.1019782823e+00    3.0856611844e+00
238      4.5103865984e-06    5.3182410590e-01    3.0620214870e+00    3.0448450740e+00
239      4.5104484410e-06    5.3873420467e-01    3.0219504889e+00    3.0040289636e+00
240      4.5105102836e-06    5.4813674613e-01    2.9817648809e+00    2.9632128533e+00
241      4.5105721261e-06    5.5983156091e-01    2.9414865835e+00    2.9223967429e+00
242      4.5106339687e-06    5.7361833899e-01    2.9011339250e+00    2.8815806325e+00
243      4.5106958113e-06    5.8932862308e-01    2.8607216098e+00    2.8407645222e+00
244      4.5107576539e-06    6.0682862674e-01    2.8202596064e+00    2.7999484118e+00
245      4.5108194965e-06    6.2602632019e-01    2.7797560536e+00    2.7591323014e+00
246      4.5108813391e-06    6.4686816820e-01    2.7392169284e+00    2.7183161911e+00
247      4.5109431817e-06    6.6934052360e-01    2.6986471410e+00    2.6775000807e+00
248      4.5110050243e-06    6.9346739742e-01    2.6580500630e+00    2.6366839703e+00
249      4.5110668669e-06    7.1931204363e-01    2.6174279387e+00    2.5958678600e+00
