Index         TIME             V(N03529)           V(NCLK)           V(NMYVDD)           V(NRF)        V(X_DFF:N285734)  V(X_DFF:X_U8A:PREB) V(X_DFF:X_U8A:CLRB)   V(X_DFF:INVVRF)
54      1.0132113750e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   6.2030204207e+00   6.4855489065e+00   
55      1.0134417750e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   4.5385772088e+00   4.7292730296e+00   
56      1.0139025750e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1672162012e+00   1.1757802731e+00   
57      1.0139041950e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.0116274417e+01   1.1650485437e+01   1.1550782366e+00   1.1631895735e+00   
58      1.0139042820e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.0537152052e+01   1.1650485437e+01   1.1544265751e+00   1.1625137500e+00   
59      1.0139043689e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.0904706973e+01   1.1650485437e+01   1.1537748430e+00   1.1618379249e+00   
60      1.0139045428e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1391832703e+01   1.1650485437e+01   1.1524709602e+00   1.1604862651e+00   
61      1.0139046983e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1637314369e+01   1.1650485437e+01   1.1513047110e+00   1.1592777513e+00   
62      1.0139048538e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1781666178e+01   1.1650485437e+01   1.1501380361e+00   1.1580692276e+00   
63      1.0139051648e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1922437564e+01   1.1650485437e+01   1.1478034561e+00   1.1556521505e+00   
64      1.0139054758e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1967033615e+01   1.1650485437e+01   1.1454672962e+00   1.1532350349e+00   
65      1.0139057868e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1981161541e+01   1.1650485437e+01   1.1431296337e+00   1.1508178819e+00   
66      1.0139060977e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1985637236e+01   1.1650485437e+01   1.1407905415e+00   1.1484006923e+00   
67      1.0139067197e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987750964e+01   1.1650485437e+01   1.1361083712e+00   1.1435662073e+00   
68      1.0139079636e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987699178e+01   1.1650485437e+01   1.1267298516e+00   1.1338968348e+00   
69      1.0139104515e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987720801e+01   1.1650485437e+01   1.1079273132e+00   1.1145565978e+00   
70      1.0139154272e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987706152e+01   1.1650485437e+01   1.0701985446e+00   1.0758706686e+00   
71      1.0139253787e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987718305e+01   1.1650485437e+01   9.9446091630e-01   9.9847840430e-01   
72      1.0139452816e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987707218e+01   1.1650485437e+01   8.4230808452e-01   8.4361406453e-01   
73      1.0139850874e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987717811e+01   1.1650485437e+01   5.3552551490e-01   5.3356593808e-01   
74      1.0140198304e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987712639e+01   1.1650485437e+01   3.0108893981e-01   2.9926235207e-01   
75      1.0140325338e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987712596e+01   1.1650485437e+01   2.9227280930e-01   2.9315218115e-01   
76      1.0140439669e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.1987712595e+01   1.1650485437e+01   2.9137632697e-01   2.9271982102e-01   
