Index       V(1)              TEMP             I(VMON)          N(D1:CD)     
38	-1.00000e-01	7.500000e+01	-9.37431e-13	1.476213e-15	
39	-5.00000e-02	7.500000e+01	-7.54834e-13	1.508336e-15	
40	1.207368e-15	7.500000e+01	3.620319e-26	1.542878e-15	
41	5.000000e-02	7.500000e+01	3.781496e-12	1.580164e-15	
42	1.000000e-01	7.500000e+01	2.358649e-11	1.620582e-15	
43	1.500000e-01	7.500000e+01	1.282220e-10	1.664605e-15	
44	2.000000e-01	7.500000e+01	6.819610e-10	1.712810e-15	
45	2.500000e-01	7.500000e+01	3.613310e-09	1.765914e-15	
46	3.000000e-01	7.500000e+01	1.913202e-08	1.824823e-15	
47	3.500000e-01	7.500000e+01	1.012895e-07	1.890693e-15	
48	4.000000e-01	7.500000e+01	5.362342e-07	1.965036e-15	
49	4.500000e-01	7.500000e+01	2.838676e-06	2.049865e-15	
50	5.000000e-01	7.500000e+01	1.502221e-05	2.146319e-15	
51	5.500000e-01	7.500000e+01	7.935900e-05	2.244831e-15	
52	6.000000e-01	7.500000e+01	4.154399e-04	2.342806e-15	
53	6.500000e-01	7.500000e+01	2.078760e-03	2.438164e-15	
54	7.000000e-01	7.500000e+01	8.804004e-03	2.523535e-15	
55	7.500000e-01	7.500000e+01	2.614028e-02	2.587973e-15	
56	8.000000e-01	7.500000e+01	5.423345e-02	2.631190e-15	
57	8.500000e-01	7.500000e+01	8.929373e-02	2.660663e-15	
58	9.000000e-01	7.500000e+01	1.284014e-01	2.682151e-15	
59	9.500000e-01	7.500000e+01	1.698998e-01	2.698922e-15	
60	1.000000e+00	7.500000e+01	2.131445e-01	2.712249e-15	
0 	-2.00000e+00	1.000000e+02	-1.47609e-11	9.449227e-16	
1 	-1.95000e+00	1.000000e+02	-1.47109e-11	9.520480e-16	
2 	-1.90000e+00	1.000000e+02	-1.46609e-11	9.593552e-16	
3 	-1.85000e+00	1.000000e+02	-1.46108e-11	9.668524e-16	
4 	-1.80000e+00	1.000000e+02	-1.45608e-11	9.745479e-16	
5 	-1.75000e+00	1.000000e+02	-1.45108e-11	9.824510e-16	
6 	-1.70000e+00	1.000000e+02	-1.44609e-11	9.905711e-16	
7 	-1.65000e+00	1.000000e+02	-1.44109e-11	9.989186e-16	
8 	-1.60000e+00	1.000000e+02	-1.43610e-11	1.007505e-15	
9 	-1.55000e+00	1.000000e+02	-1.43110e-11	1.016341e-15	
10	-1.50000e+00	1.000000e+02	-1.42608e-11	1.025439e-15	
11	-1.45000e+00	1.000000e+02	-1.42106e-11	1.034814e-15	
12	-1.40000e+00	1.000000e+02	-1.41609e-11	1.044480e-15	
13	-1.35000e+00	1.000000e+02	-1.41107e-11	1.054451e-15	
14	-1.30000e+00	1.000000e+02	-1.40608e-11	1.064746e-15	
15	-1.25000e+00	1.000000e+02	-1.40108e-11	1.075382e-15	
16	-1.20000e+00	1.000000e+02	-1.39606e-11	1.086378e-15	
17	-1.15000e+00	1.000000e+02	-1.39107e-11	1.097757e-15	
18	-1.10000e+00	1.000000e+02	-1.38607e-11	1.109540e-15	
19	-1.05000e+00	1.000000e+02	-1.38105e-11	1.121753e-15	
20	-1.00000e+00	1.000000e+02	-1.37604e-11	1.134422e-15	
21	-9.50000e-01	1.000000e+02	-1.37104e-11	1.147578e-15	
22	-9.00000e-01	1.000000e+02	-1.36602e-11	1.161254e-15	
23	-8.50000e-01	1.000000e+02	-1.36101e-11	1.175484e-15	
24	-8.00000e-01	1.000000e+02	-1.35598e-11	1.190307e-15	
25	-7.50000e-01	1.000000e+02	-1.35096e-11	1.205768e-15	
26	-7.00000e-01	1.000000e+02	-1.34593e-11	1.221912e-15	
27	-6.50000e-01	1.000000e+02	-1.34089e-11	1.238794e-15	
28	-6.00000e-01	1.000000e+02	-1.33584e-11	1.256473e-15	
29	-5.50000e-01	1.000000e+02	-1.33077e-11	1.275012e-15	
30	-5.00000e-01	1.000000e+02	-1.32565e-11	1.294487e-15	
31	-4.50000e-01	1.000000e+02	-1.32048e-11	1.314979e-15	
32	-4.00000e-01	1.000000e+02	-1.31521e-11	1.336582e-15	
33	-3.50000e-01	1.000000e+02	-1.30977e-11	1.359401e-15	
34	-3.00000e-01	1.000000e+02	-1.30399e-11	1.383557e-15	
35	-2.50000e-01	1.000000e+02	-1.29745e-11	1.409187e-15	
36	-2.00000e-01	1.000000e+02	-1.28897e-11	1.436451e-15	
37	-1.50000e-01	1.000000e+02	-1.27420e-11	1.465532e-15	
38	-1.00000e-01	1.000000e+02	-1.22907e-11	1.496644e-15	
39	-5.00000e-02	1.000000e+02	-1.01159e-11	1.530040e-15	
40	1.207368e-15	1.000000e+02	4.816179e-25	1.566017e-15	
41	5.000000e-02	1.000000e+02	4.770995e-11	1.604931e-15	
42	1.000000e-01	1.000000e+02	2.734206e-10	1.647210e-15	
43	1.500000e-01	1.000000e+02	1.341930e-09	1.693379e-15	
44	2.000000e-01	1.000000e+02	6.400925e-09	1.744081e-15	
45	2.500000e-01	1.000000e+02	3.035407e-08	1.800122e-15	
46	3.000000e-01	1.000000e+02	1.437669e-07	1.862525e-15	
47	3.500000e-01	1.000000e+02	6.807436e-07	1.932612e-15	
48	4.000000e-01	1.000000e+02	3.222980e-06	2.012124e-15	
49	4.500000e-01	1.000000e+02	1.525452e-05	2.103403e-15	
50	5.000000e-01	1.000000e+02	7.209959e-05	2.205427e-15	
51	5.500000e-01	1.000000e+02	3.385536e-04	2.307727e-15	
52	6.000000e-01	1.000000e+02	1.543397e-03	2.408096e-15	
53	6.500000e-01	1.000000e+02	6.304667e-03	2.501150e-15	
54	7.000000e-01	1.000000e+02	1.968688e-02	2.576471e-15	
55	7.500000e-01	1.000000e+02	4.389124e-02	2.629531e-15	
56	8.000000e-01	1.000000e+02	7.617398e-02	2.665975e-15	
57	8.500000e-01	1.000000e+02	1.133888e-01	2.692273e-15	
58	9.000000e-01	1.000000e+02	1.535092e-01	2.712595e-15	
59	9.500000e-01	1.000000e+02	1.957577e-01	2.728539e-15	
60	1.000000e+00	1.000000e+02	2.393395e-01	2.741741e-15	
End of Xyce(TM) Parameter Sweep
