Index       TIME              V(1)            V(RC_OUT)         V(RG_OUT)    
293      3.95750000e-08    0.00000000e+00   -1.44416292e-15    0.00000000e+00
294      3.97250000e-08    0.00000000e+00   -1.46864026e-15    0.00000000e+00
295      3.98750000e-08    0.00000000e+00   -1.49311760e-15    0.00000000e+00
296      4.00250000e-08    0.00000000e+00   -1.51759493e-15    0.00000000e+00
297      4.01750000e-08    0.00000000e+00   -1.54113083e-15    0.00000000e+00
298      4.03250000e-08    0.00000000e+00   -1.56372530e-15    0.00000000e+00
299      4.04750000e-08    0.00000000e+00   -1.58631977e-15    0.00000000e+00
300      4.06250000e-08    0.00000000e+00   -1.60985567e-15    0.00000000e+00
301      4.07750000e-08    0.00000000e+00   -1.63245013e-15    0.00000000e+00
302      4.09250000e-08    0.00000000e+00   -1.65504460e-15    0.00000000e+00
303      4.10000000e-08    0.00000000e+00   -1.66623665e-15    0.00000000e+00
304      4.10000586e-08    5.85937500e-05    5.85937500e-05    5.85937500e-05
305      4.10001172e-08    1.17187500e-04    1.17187500e-04    1.17187500e-04
306      4.10002344e-08    2.34375000e-04    2.34375000e-04    2.34375000e-04
307      4.10004688e-08    4.68750000e-04    4.68750000e-04    4.68750000e-04
308      4.10009375e-08    9.37500000e-04    9.37500000e-04    9.37500000e-04
309      4.10018750e-08    1.87500000e-03    1.87500000e-03    1.87500000e-03
310      4.10037500e-08    3.75000000e-03    3.75000000e-03    3.75000000e-03
311      4.10075000e-08    7.50000000e-03    7.50000000e-03    7.50000000e-03
312      4.10150000e-08    1.50000000e-02    1.50000000e-02    1.50000000e-02
313      4.10300000e-08    3.00000000e-02    3.00000000e-02    3.00000000e-02
314      4.10600000e-08    6.00000000e-02    6.00000000e-02    6.00000000e-02
315      4.11200000e-08    1.20000000e-01    1.20000000e-01    1.20000000e-01
316      4.12400000e-08    2.40000000e-01    2.40000000e-01    2.40000000e-01
317      4.13900000e-08    3.90000000e-01    3.90000000e-01    3.90000000e-01
318      4.15400000e-08    5.40000000e-01    5.40000000e-01    5.40000000e-01
319      4.16900000e-08    6.90000000e-01    6.90000000e-01    6.90000000e-01
320      4.18400000e-08    8.40000000e-01    8.40000000e-01    8.40000000e-01
321      4.19900000e-08    9.90000000e-01    9.90000000e-01    9.90000000e-01
322      4.20000000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
323      4.20100000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
324      4.20300000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
325      4.20700000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
326      4.21500000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
327      4.23000000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
328      4.24500000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
329      4.26000000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
330      4.27500000e-08    1.00000000e+00    1.00000000e+00    1.00000000e+00
