Index    TIME    {V(DRAIN)}_quad_pce_mean    {V(DRAIN)}_quad_pce_meanPlus    {V(DRAIN)}_quad_pce_meanMinus    {V(DRAIN)}_quad_pce_stddev    {V(DRAIN)}_quad_pce_variance    
196   9.58709000e-07   5.28325600e-01   9.56263600e-01   1.00387500e-01   4.27938100e-01   1.83131000e-01   
197   9.59283700e-07   5.56736500e-01   9.86252200e-01   1.27220900e-01   4.29515700e-01   1.84483700e-01   
198   9.59858400e-07   5.87716200e-01   1.02175900e+00   1.53673700e-01   4.34042500e-01   1.88392900e-01   
199   9.60433100e-07   6.20806200e-01   1.06240600e+00   1.79206400e-01   4.41599800e-01   1.95010300e-01   
200   9.60527900e-07   6.26341400e-01   1.06937300e+00   1.83310200e-01   4.43031200e-01   1.96276600e-01   
201   9.60717600e-07   6.36850600e-01   1.08251500e+00   1.91186800e-01   4.45663900e-01   1.98616300e-01   
202   9.60907400e-07   6.45785900e-01   1.09300900e+00   1.98562800e-01   4.47223100e-01   2.00008500e-01   
203   9.61097100e-07   6.52898400e-01   1.10031300e+00   2.05483500e-01   4.47414900e-01   2.00180100e-01   
204   9.61286800e-07   6.58577400e-01   1.10504800e+00   2.12107000e-01   4.46470400e-01   1.99335800e-01   
205   9.61476500e-07   6.63267500e-01   1.10793300e+00   2.18601900e-01   4.44665600e-01   1.97727500e-01   
206   9.61666200e-07   6.67488900e-01   1.10983200e+00   2.25146100e-01   4.42342700e-01   1.95667100e-01   
207   9.62045700e-07   6.75097600e-01   1.11160200e+00   2.38593300e-01   4.36504200e-01   1.90536000e-01   
208   9.62387200e-07   6.81209700e-01   1.11111300e+00   2.51306700e-01   4.29903000e-01   1.84816600e-01   
209   9.62728600e-07   6.87416700e-01   1.10992100e+00   2.64912600e-01   4.22504200e-01   1.78509800e-01   
210   9.63070100e-07   6.94140900e-01   1.10872000e+00   2.79562000e-01   4.14578900e-01   1.71875700e-01   
211   9.63411600e-07   7.01396700e-01   1.10751500e+00   2.95278100e-01   4.06118600e-01   1.64932300e-01   
212   9.64094600e-07   7.17610900e-01   1.10521300e+00   3.30008600e-01   3.87602300e-01   1.50235500e-01   
213   9.64777600e-07   7.36225300e-01   1.10332000e+00   3.69130800e-01   3.67094500e-01   1.34758300e-01   
214   9.65460600e-07   7.57396500e-01   1.10228800e+00   4.12505100e-01   3.44891300e-01   1.18950000e-01   
215   9.66143600e-07   7.81250500e-01   1.10279400e+00   4.59707300e-01   3.21543200e-01   1.03390000e-01   
216   9.66826600e-07   8.07871900e-01   1.10583800e+00   5.09905600e-01   2.97966300e-01   8.87839100e-02   
217   9.67509600e-07   8.37283100e-01   1.11286700e+00   5.61699800e-01   2.75583400e-01   7.59462000e-02   
218   9.68192500e-07   8.69353500e-01   1.12578800e+00   6.12919100e-01   2.56434500e-01   6.57586400e-02   
219   9.68875500e-07   9.00714500e-01   1.14283200e+00   6.58597400e-01   2.42117200e-01   5.86207200e-02   
220   9.68949300e-07   9.03557600e-01   1.14423800e+00   6.62877000e-01   2.40680600e-01   5.79271400e-02   
221   9.69096900e-07   9.08416300e-01   1.14605600e+00   6.70776600e-01   2.37639700e-01   5.64726200e-02   
222   9.69244500e-07   9.11837900e-01   1.14594600e+00   6.77729900e-01   2.34108000e-01   5.48065600e-02   
223   9.69392100e-07   9.14296800e-01   1.14444300e+00   6.84150100e-01   2.30146700e-01   5.29675000e-02   
224   9.69539700e-07   9.16284600e-01   1.14217600e+00   6.90393200e-01   2.25891400e-01   5.10269200e-02   
225   9.69834900e-07   9.19878400e-01   1.13670900e+00   7.03048200e-01   2.16830300e-01   4.70153700e-02   
226   9.70130100e-07   9.23451300e-01   1.13064600e+00   7.16256600e-01   2.07194800e-01   4.29296700e-02   
227   9.70720400e-07   9.31142900e-01   1.11751100e+00   7.44775300e-01   1.86367600e-01   3.47328900e-02   
228   9.71310800e-07   9.39601700e-01   1.10303200e+00   7.76171000e-01   1.63430700e-01   2.67095800e-02   
229   9.71901200e-07   9.48841900e-01   1.08719200e+00   8.10491800e-01   1.38350100e-01   1.91407500e-02   
230   9.72491500e-07   9.58863700e-01   1.06999500e+00   8.47732500e-01   1.11131200e-01   1.23501400e-02   
