Index        TIME             V(1S)            V(1)             V(2S)            V(2)             V(3S)            V(3)             V(4S)            V(4)
127     6.97625289e-09   2.00000000e+00   1.00000000e-03   1.46502657e+00   2.00000000e-03   1.29672310e+00   3.00000000e-03   -2.40978180e+00  4.00000000e-03   
128     7.08931239e-09   2.00000000e+00   1.00000000e-03   1.47344668e+00   2.00000000e-03   1.29840356e+00   3.00000000e-03   -2.44732314e+00  4.00000000e-03   
129     7.20237188e-09   2.00000000e+00   1.00000000e-03   1.48071563e+00   2.00000000e-03   1.30005953e+00   3.00000000e-03   -2.47491823e+00  4.00000000e-03   
130     7.31543138e-09   2.00000000e+00   1.00000000e-03   1.48682917e+00   2.00000000e-03   1.30169123e+00   3.00000000e-03   -2.49242615e+00  4.00000000e-03   
131     7.42849088e-09   2.00000000e+00   1.00000000e-03   1.49178375e+00   2.00000000e-03   1.30329889e+00   3.00000000e-03   -2.49975750e+00  4.00000000e-03   
132     7.54155038e-09   2.00000000e+00   1.00000000e-03   1.49557647e+00   2.00000000e-03   1.30488274e+00   3.00000000e-03   -2.49687487e+00  4.00000000e-03   
133     7.65460987e-09   2.00000000e+00   1.00000000e-03   1.49820512e+00   2.00000000e-03   1.30644299e+00   3.00000000e-03   -2.48379301e+00  4.00000000e-03   
134     7.76766937e-09   2.00000000e+00   1.00000000e-03   1.49966817e+00   2.00000000e-03   1.30797987e+00   3.00000000e-03   -2.46057876e+00  4.00000000e-03   
135     7.88072887e-09   2.00000000e+00   1.00000000e-03   1.49996476e+00   2.00000000e-03   1.30949360e+00   3.00000000e-03   -2.42735072e+00  4.00000000e-03   
136     7.99378837e-09   2.00000000e+00   1.00000000e-03   1.49909472e+00   2.00000000e-03   1.31098439e+00   3.00000000e-03   -2.38427863e+00  4.00000000e-03   
137     8.10684787e-09   2.00000000e+00   1.00000000e-03   1.49705856e+00   2.00000000e-03   1.31245246e+00   3.00000000e-03   -2.33158253e+00  4.00000000e-03   
138     8.21990736e-09   2.00000000e+00   1.00000000e-03   1.49385747e+00   2.00000000e-03   1.31389803e+00   3.00000000e-03   -2.26953158e+00  4.00000000e-03   
139     8.33296686e-09   2.00000000e+00   1.00000000e-03   1.48949331e+00   2.00000000e-03   1.31532130e+00   3.00000000e-03   -2.19844274e+00  4.00000000e-03   
140     8.44602636e-09   2.00000000e+00   1.00000000e-03   1.48396863e+00   2.00000000e-03   1.31672250e+00   3.00000000e-03   -2.11867912e+00  4.00000000e-03   
141     8.55908586e-09   2.00000000e+00   1.00000000e-03   1.47728665e+00   2.00000000e-03   1.31810181e+00   3.00000000e-03   -2.03064816e+00  4.00000000e-03   
142     8.67214535e-09   2.00000000e+00   1.00000000e-03   1.46945127e+00   2.00000000e-03   1.31945947e+00   3.00000000e-03   -1.93479950e+00  4.00000000e-03   
143     8.78520485e-09   2.00000000e+00   1.00000000e-03   1.46046706e+00   2.00000000e-03   1.32079565e+00   3.00000000e-03   -1.83162270e+00  4.00000000e-03   
144     8.89826435e-09   2.00000000e+00   1.00000000e-03   1.45033926e+00   2.00000000e-03   1.32211059e+00   3.00000000e-03   -1.72164477e+00  4.00000000e-03   
145     9.01132385e-09   2.00000000e+00   1.00000000e-03   1.43907377e+00   2.00000000e-03   1.32340446e+00   3.00000000e-03   -1.60542744e+00  4.00000000e-03   
146     9.12438334e-09   2.00000000e+00   1.00000000e-03   1.42667718e+00   2.00000000e-03   1.32467748e+00   3.00000000e-03   -1.48356432e+00  4.00000000e-03   
147     9.23744284e-09   2.00000000e+00   1.00000000e-03   1.41315671e+00   2.00000000e-03   1.32592984e+00   3.00000000e-03   -1.35667782e+00  4.00000000e-03   
148     9.35050234e-09   2.00000000e+00   1.00000000e-03   1.39852025e+00   2.00000000e-03   1.32716174e+00   3.00000000e-03   -1.22541603e+00  4.00000000e-03   
149     9.46356184e-09   2.00000000e+00   1.00000000e-03   1.38277633e+00   2.00000000e-03   1.32837337e+00   3.00000000e-03   -1.09044939e+00  4.00000000e-03   
150     9.57662133e-09   2.00000000e+00   1.00000000e-03   1.36593415e+00   2.00000000e-03   1.32956493e+00   3.00000000e-03   -9.52467226e-01  4.00000000e-03   
151     9.68968083e-09   2.00000000e+00   1.00000000e-03   1.34800351e+00   2.00000000e-03   1.33073662e+00   3.00000000e-03   -8.12174296e-01  4.00000000e-03   
152     9.80274033e-09   2.00000000e+00   1.00000000e-03   1.32899489e+00   2.00000000e-03   1.33188861e+00   3.00000000e-03   -6.70287136e-01  4.00000000e-03   
153     9.91579983e-09   2.00000000e+00   1.00000000e-03   1.30891937e+00   2.00000000e-03   1.33302110e+00   3.00000000e-03   -5.27530425e-01  4.00000000e-03   
154     1.00288593e-08   2.00000000e+00   1.00000000e-03   1.28778867e+00   2.00000000e-03   1.33413428e+00   3.00000000e-03   -3.84633280e-01  4.00000000e-03   
155     1.01778767e-08   2.00000000e+00   1.00000000e-03   1.25834643e+00   2.00000000e-03   1.33557230e+00   3.00000000e-03   -1.97306815e-01  4.00000000e-03   
