Index       TIME             V(VDD)             V(IN)            V(OUT)      
312      2.15844129e-09    1.00000000e+00    5.38967627e-02    9.65303476e-01
313      2.16045467e-09    1.00000000e+00    4.88633126e-02    9.72288858e-01
314      2.16448143e-09    1.00000000e+00    3.87964125e-02    9.81995863e-01
315      2.17253496e-09    1.00000000e+00    1.86626122e-02    9.91343623e-01
316      2.18000000e-09    1.00000000e+00    3.87740912e-16    9.93996004e-01
317      2.18080535e-09    1.00000000e+00    0.00000000e+00    9.94636360e-01
318      2.18161070e-09    1.00000000e+00    0.00000000e+00    9.95208811e-01
319      2.18241606e-09    1.00000000e+00    0.00000000e+00    9.95749142e-01
320      2.18402676e-09    1.00000000e+00    0.00000000e+00    9.96657499e-01
321      2.18724817e-09    1.00000000e+00    0.00000000e+00    9.97949488e-01
322      2.19369098e-09    1.00000000e+00    0.00000000e+00    9.99279237e-01
323      2.20657662e-09    1.00000000e+00    0.00000000e+00    9.99985489e-01
324      2.23234788e-09    1.00000000e+00    0.00000000e+00    1.00000439e+00
325      2.25811914e-09    1.00000000e+00    0.00000000e+00    9.99998209e-01
326      2.30966167e-09    1.00000000e+00    0.00000000e+00    1.00000070e+00
327      2.32000000e-09    1.00000000e+00    3.87740912e-16    9.99999857e-01
328      2.32187398e-09    1.00000000e+00    4.68495798e-03    1.00110455e+00
329      2.32346642e-09    1.00000000e+00    8.66605300e-03    1.00185495e+00
330      2.32505886e-09    1.00000000e+00    1.26471480e-02    1.00252246e+00
331      2.32824374e-09    1.00000000e+00    2.06093381e-02    1.00346366e+00
332      2.33461349e-09    1.00000000e+00    3.65337182e-02    1.00444407e+00
333      2.34735299e-09    1.00000000e+00    6.83824783e-02    1.00508389e+00
334      2.36000000e-09    1.00000000e+00    1.00000000e-01    1.00529495e+00
335      2.36075052e-09    1.00000000e+00    1.07505167e-01    1.00686718e+00
336      2.36134460e-09    1.00000000e+00    1.13446018e-01    1.00802117e+00
337      2.36193869e-09    1.00000000e+00    1.19386870e-01    1.00913223e+00
338      2.36312686e-09    1.00000000e+00    1.31268574e-01    1.01112155e+00
339      2.36550320e-09    1.00000000e+00    1.55031981e-01    1.01436167e+00
