Index     V(DRAIN)           V(GATE)          N(M1:IDS)     {(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}     N(M1:GM)      {N(M1:GM)-{(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}}     N(M1:VTH)       N(M1:VDSSAT)   
138      3.80000000e-02    0.00000000e+00    5.14621909e-09    1.70257173e-07    1.70256484e-07    0.00000000e+00    2.92143765e-01    7.48584349e-02
139      3.90000000e-02    0.00000000e+00    5.36469646e-09    1.77441654e-07    1.77445217e-07    0.00000000e+00    2.92134675e-01    7.48592742e-02
140      4.00000000e-02    0.00000000e+00    5.59074340e-09    1.84881464e-07    1.84880343e-07    0.00000000e+00    2.92125438e-01    7.48601446e-02
141      4.10000000e-02    0.00000000e+00    5.82467414e-09    1.92572133e-07    1.92572007e-07    0.00000000e+00    2.92116060e-01    7.48610473e-02
142      4.20000000e-02    0.00000000e+00    6.06681306e-09    2.00533224e-07    2.00530679e-07    0.00000000e+00    2.92106544e-01    7.48619833e-02
143      4.30000000e-02    0.00000000e+00    6.31749535e-09    2.08765161e-07    2.08767169e-07    0.00000000e+00    2.92096894e-01    7.48629538e-02
144      4.40000000e-02    0.00000000e+00    6.57706753e-09    2.17295806e-07    2.17292645e-07    0.00000000e+00    2.92087114e-01    7.48639603e-02
145      4.50000000e-02    0.00000000e+00    6.84588801e-09    2.26117717e-07    2.26118654e-07    0.00000000e+00    2.92077208e-01    7.48650039e-02
146      4.60000000e-02    0.00000000e+00    7.12432752e-09    2.35257434e-07    2.35257132e-07    0.00000000e+00    2.92067180e-01    7.48660860e-02
147      4.70000000e-02    0.00000000e+00    7.41276964e-09    2.44719008e-07    2.44720422e-07    0.00000000e+00    2.92057033e-01    7.48672079e-02
148      4.80000000e-02    0.00000000e+00    7.71161124e-09    2.54519559e-07    2.54521287e-07    0.00000000e+00    2.92046770e-01    7.48683712e-02
149      4.90000000e-02    0.00000000e+00    8.02126293e-09    2.64673124e-07    2.64672924e-07    0.00000000e+00    2.92036396e-01    7.48695773e-02
150      5.00000000e-02    0.00000000e+00    8.34214953e-09    2.75188941e-07    2.75188979e-07    0.00000000e+00    2.92025913e-01    7.48708278e-02
151      5.10000000e-02    0.00000000e+00    8.67471058e-09    2.86084548e-07    2.86083561e-07    0.00000000e+00    2.92015325e-01    7.48721243e-02
